S.no,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,Target
1,7420,4,2,3,1,2,2,no,1,2,yes,full,13300000
2,8960,4,4,4,1,2,2,no,1,3,no,full,12250000
3,9960,3,2,2,1,2,1,no,2,2,yes,semi,12250000
4,7500,4,2,2,1,2,1,no,1,3,yes,full,12215000
5,7420,4,1,2,1,1,1,no,1,2,no,full,11410000
6,7500,3,3,1,1,2,1,no,1,2,yes,semi,10850000
7,8580,4,3,4,1,2,2,no,1,2,yes,semi,10150000
8,162000,5,3,2,1,2,2,no,2,0,no,empty,10150000
9,8100,4,1,2,1,1,1,no,1,2,yes,full,9870000
10,5750,3,2,4,1,1,2,no,1,1,yes,empty,9800000
11,13200,3,1,2,1,2,1,no,1,2,yes,full,9800000
12,6000,4,3,2,1,1,1,yes,2,2,no,semi,9681000
13,6550,4,2,2,1,2,2,no,1,1,yes,semi,9310000
14,3500,??,2,2,1,2,2,yes,2,2,no,,9240000
15,7800,3,2,2,1,2,2,no,2,0,yes,semi,9240000
16,6000,4,1,2,1,2,1,no,2,2,no,semi,9100000
17,6600,4,2,2,1,1,1,no,1,1,yes,empty,9100000
18,8500,3,2,4,1,2,2,no,1,2,no,full,8960000
19,4600,3,2,2,1,1,2,no,1,2,no,full,8890000
20,6420,3,2,2,1,2,2,no,1,1,yes,semi,8855000
21,4320,3,1,2,1,2,1,yes,2,2,no,semi,8750000
22,7155,3,2,1,1,1,1,no,1,2,no,empty,8680000
23,8050,3,1,1,1,1,1,no,1,1,no,full,8645000
24,4560,3,2,2,1,1,1,no,1,1,no,full,8645000
25,8800,3,2,2,1,2,2,no,1,2,no,full,8575000
26,6540,4,2,2,1,1,1,no,1,2,yes,full,8540000
27,6000,3,2,4,1,1,1,no,1,0,yes,semi,8463000
28,8875,3,1,1,1,2,2,no,2,1,no,semi,8400000
29,7950,5,2,2,1,2,1,yes,2,2,no,empty,8400000
30,5500,4,2,2,1,2,1,no,1,1,yes,semi,8400000
31,7475,3,2,4,1,2,2,no,1,2,no,empty,8400000
32,7000,3,1,4,1,2,2,no,1,2,no,semi,8400000
33,4880,4,2,2,1,2,2,no,1,1,yes,full,8295000
34,5960,3,3,2,1,1,1,no,2,1,no,empty,8190000
35,6840,5,1,2,1,1,1,no,1,1,no,full,8120000
36,7000,3,2,4,1,2,2,no,1,2,no,full,8080940
37,7482,3,2,3,1,2,2,yes,2,1,yes,full,8043000
38,9000,4,2,4,1,2,2,no,1,2,no,full,7980000
39,6000,3,1,4,1,1,2,no,1,2,no,empty,7962500
40,6000,4,2,4,1,2,2,no,1,1,no,semi,7910000
41,6550,3,1,2,1,2,1,no,1,0,yes,full,7875000
42,6360,3,2,4,1,2,2,no,1,0,yes,full,7840000
43,6480,3,2,4,1,2,2,no,1,2,no,empty,7700000
